Analysis,N,EffN,Prevalance,Lambda GC,LDSC intercept (SE),Ratio (SE),Total Observed Scale h2 (SE),h2 Z,Total Liability Scale h2 (SE)
Reported Infection vs population controls,2825170,570790.2182313869,0.01,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0066 (0.0016)
Reported Infection vs population controls,2825170,570790.2182313869,0.025,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0083 (0.002)
Reported Infection vs population controls,2825170,570790.2182313869,0.05,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0102 (0.0024)
Reported Infection vs population controls,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0108 (0.0026)
Reported Infection vs population controls,2825170,570790.2182313869,0.075,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0115 (0.0027)
Reported Infection vs population controls,2825170,570790.2182313869,0.1,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0126 (0.003)
Reported Infection vs population controls,2825170,570790.2182313869,0.2,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0156 (0.0037)
Reported Infection vs population controls,2825170,570790.2182313869,0.3,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0175 (0.0042)
Reported Infection vs population controls,2825170,570790.2182313869,0.4,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0185 (0.0044)
Reported Infection vs population controls,2825170,570790.2182313869,0.5,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0188 (0.0045)
Reported Infection vs population controls,2825170,570790.2182313869,0.6,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0185 (0.0044)
Reported Infection vs population controls,2825170,570790.2182313869,0.7,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0175 (0.0042)
Reported Infection vs population controls,2825170,570790.2182313869,0.8,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0156 (0.0037)
Reported Infection vs population controls,2825170,570790.2182313869,0.9,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0126 (0.003)
Reported Infection vs population controls,2825170,570790.2182313869,1,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,NA
Hospitalization vs population controls,2962058,117200.96400324545,0.01,1.099,1.0155 (0.0101),0.1043 (0.0676),0.0578 (0.0071),8.17,0.0319 (0.0039)
