trait,n,EffN,preval,Lambda GC,Intercept,Ratio,Total Observed Scale h2,h2 Z,Total Liability Scale h2,pop_prev
COVID19_HGI_A2,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0108 (0.0026),observed
COVID19_HGI_B2,2962058,117200.96400324545,0.011953513401830753,1.099,1.0155 (0.0101),0.1043 (0.0676),0.0578 (0.0071),8.17,0.0333 (0.0041),observed
COVID19_HGI_C2,1952417,57186.84634649683,0.008182166002447222,1.1174,1.0419 (0.0078),0.3133 (0.0584),0.0822 (0.0114),7.22,0.0433 (0.006),observed
longcovid2022N1v4,40910,8753.446249656838,0.07272060620875091,0.8756,0.8547 (0.0052),1.1825 (-0.0423),0.1299 (0.0379),3.43,0.1236 (0.0361),observed
longcovid2022N2v4,997600,10233.525073970253,0.003025260625501203,0.9942,0.9856 (0.0057),1.5642 (-0.6246),0.0257 (0.0389),0.66,0.011 (0.0167),observed
longcovid2022W1v4,52615,17371.548577328187,0.12177135797776299,0.9261,0.9193 (0.0053),1.1209 (-0.073),0.0254 (0.0217),1.17,0.0285 (0.0243),observed
longcovid2022W2v4,1100445,22275.361756329163,0.005861265215435574,0.988,0.9806 (0.0057),1.8085 (-0.5276),0.0198 (0.0185),1.07,0.0097 (0.009),observed
COVID19_HGI_A2,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0066 (0.0016),0.01
COVID19_HGI_B2,2962058,117200.96400324545,0.011953513401830753,1.099,1.0155 (0.0101),0.1043 (0.0676),0.0578 (0.0071),8.17,0.0319 (0.0039),0.01
COVID19_HGI_C2,1952417,57186.84634649683,0.008182166002447222,1.1174,1.0419 (0.0078),0.3133 (0.0584),0.0822 (0.0114),7.22,0.0454 (0.0063),0.01
longcovid2022N1v4,40910,8753.446249656838,0.07272060620875091,0.8756,0.8547 (0.0052),1.1825 (-0.0423),0.1299 (0.0379),3.43,0.0717 (0.0209),0.01
longcovid2022N2v4,997600,10233.525073970253,0.003025260625501203,0.9942,0.9856 (0.0057),1.5642 (-0.6246),0.0257 (0.0389),0.66,0.0142 (0.0215),0.01
longcovid2022W1v4,52615,17371.548577328187,0.12177135797776299,0.9261,0.9193 (0.0053),1.1209 (-0.073),0.0254 (0.0217),1.17,0.014 (0.012),0.01
longcovid2022W2v4,1100445,22275.361756329163,0.005861265215435574,0.988,0.9806 (0.0057),1.8085 (-0.5276),0.0198 (0.0185),1.07,0.0109 (0.0102),0.01
COVID19_HGI_A2,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0083 (0.002),0.025
COVID19_HGI_B2,2962058,117200.96400324545,0.011953513401830753,1.099,1.0155 (0.0101),0.1043 (0.0676),0.0578 (0.0071),8.17,0.0402 (0.0049),0.025
COVID19_HGI_C2,1952417,57186.84634649683,0.008182166002447222,1.1174,1.0419 (0.0078),0.3133 (0.0584),0.0822 (0.0114),7.22,0.0572 (0.0079),0.025
longcovid2022N1v4,40910,8753.446249656838,0.07272060620875091,0.8756,0.8547 (0.0052),1.1825 (-0.0423),0.1299 (0.0379),3.43,0.0904 (0.0264),0.025
longcovid2022N2v4,997600,10233.525073970253,0.003025260625501203,0.9942,0.9856 (0.0057),1.5642 (-0.6246),0.0257 (0.0389),0.66,0.0179 (0.0271),0.025
longcovid2022W1v4,52615,17371.548577328187,0.12177135797776299,0.9261,0.9193 (0.0053),1.1209 (-0.073),0.0254 (0.0217),1.17,0.0177 (0.0151),0.025
longcovid2022W2v4,1100445,22275.361756329163,0.005861265215435574,0.988,0.9806 (0.0057),1.8085 (-0.5276),0.0198 (0.0185),1.07,0.0137 (0.0129),0.025
COVID19_HGI_A2,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0102 (0.0024),0.05
COVID19_HGI_B2,2962058,117200.96400324545,0.011953513401830753,1.099,1.0155 (0.0101),0.1043 (0.0676),0.0578 (0.0071),8.17,0.049 (0.006),0.05
COVID19_HGI_C2,1952417,57186.84634649683,0.008182166002447222,1.1174,1.0419 (0.0078),0.3133 (0.0584),0.0822 (0.0114),7.22,0.0697 (0.0097),0.05
longcovid2022N1v4,40910,8753.446249656838,0.07272060620875091,0.8756,0.8547 (0.0052),1.1825 (-0.0423),0.1299 (0.0379),3.43,0.1102 (0.0322),0.05
longcovid2022N2v4,997600,10233.525073970253,0.003025260625501203,0.9942,0.9856 (0.0057),1.5642 (-0.6246),0.0257 (0.0389),0.66,0.0218 (0.033),0.05
longcovid2022W1v4,52615,17371.548577328187,0.12177135797776299,0.9261,0.9193 (0.0053),1.1209 (-0.073),0.0254 (0.0217),1.17,0.0216 (0.0184),0.05
longcovid2022W2v4,1100445,22275.361756329163,0.005861265215435574,0.988,0.9806 (0.0057),1.8085 (-0.5276),0.0198 (0.0185),1.07,0.0168 (0.0157),0.05
COVID19_HGI_A2,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0115 (0.0027),0.075
COVID19_HGI_B2,2962058,117200.96400324545,0.011953513401830753,1.099,1.0155 (0.0101),0.1043 (0.0676),0.0578 (0.0071),8.17,0.0555 (0.0068),0.075
COVID19_HGI_C2,1952417,57186.84634649683,0.008182166002447222,1.1174,1.0419 (0.0078),0.3133 (0.0584),0.0822 (0.0114),7.22,0.079 (0.0109),0.075
longcovid2022N1v4,40910,8753.446249656838,0.07272060620875091,0.8756,0.8547 (0.0052),1.1825 (-0.0423),0.1299 (0.0379),3.43,0.1248 (0.0364),0.075
longcovid2022N2v4,997600,10233.525073970253,0.003025260625501203,0.9942,0.9856 (0.0057),1.5642 (-0.6246),0.0257 (0.0389),0.66,0.0247 (0.0374),0.075
longcovid2022W1v4,52615,17371.548577328187,0.12177135797776299,0.9261,0.9193 (0.0053),1.1209 (-0.073),0.0254 (0.0217),1.17,0.0244 (0.0208),0.075
longcovid2022W2v4,1100445,22275.361756329163,0.005861265215435574,0.988,0.9806 (0.0057),1.8085 (-0.5276),0.0198 (0.0185),1.07,0.019 (0.0177),0.075
COVID19_HGI_A2,2825170,570790.2182313869,0.06084058658417016,1.0787,1.0037 (0.0145),0.0265 (0.1051),0.012 (0.0028),4.21,0.0126 (0.003),0.1
